Item Code,Items Name (Key),Payment
LOC-7,7 ' ထွန်ခုံ (60) သွား (FK),MMK
LOC-8,7 ' ထွန်ခုံ (54) သွား (Shaktiman),MMK
LOC-9,ACE မှ ရှေ့ဂေါ် (9000),MMK
LOC-10,ACE မှ ရှေ‌ဂေါ် (7500) (ကာဗာအပါ 1 ပြောင်းထိုး),MMK
LOC-11,SF အမိုးပြား + ဒေါက် (354),MMK
LOC-12,"DF ငရုပ်ဆုံရေယက်သံဘီး 27"" + ဒူးဆစ်ပါ။",MMK
LOC-13,"DF ငရုပ်ဆုံရေယက်သံဘီး 29"" + ဒူးဆစ်ပါ။",MMK
LOC-14,"DF ငရုပ်ဆုံရေယက်သံဘီး 27""",MMK
LOC-15,"SF သံဘီး(27"") ပိုးပြီး",MMK
LOC-16,ယိုးဒယား သံဘီး (A) Type (J) (B),MMK
LOC-17,ဒီဇယ်,MMK
LOC-18,ဓာတ်ဆီ,MMK
LOC-19,ယိုးဒယား စက်တုံး (ထိုင်မောင်း),MMK
LOC-20,ယိုးဒယားကိုင်း မှ ထွန်ခြစ်,MMK
LOC-21,ယိုးဒယားကိုင်း မှ ခါးဆက်တုံး (ဂျွိုင်းဆက်),MMK
LOC-22,ယိုးဒယားကိုင်း မှ ထယ်ချွန်,MMK
LOC-23,ယိုးဒယားကိုင်း မှ ဘဲခြေထောက်,MMK
LOC-24,ယိုးဒယားနှစ်သွားလင်ဗန်းထယ် (သံလျက်),MMK
LOC-25,ထွေလာ မှ နတ်စုံ,MMK
LOC-26,4' (5) ပေါက် အိတ်ဇယ်,MMK
LOC-27,"3' 3"" (6) ပေါက် အိတ်ဇယ်",MMK
LOC-28,4' (6) ပေါက် အိတ်ဇယ်,MMK
LOC-29,16 ဂွေ (6) ပေါက်,MMK
LOC-30,ထွေလာ ကူရှင် (အသေး),MMK
LOC-31,အမဲဆီဂန်း,MMK
LOC-32,ဂျိုက်+စပန်နာ,MMK
LOC-33,ဝိတ်တုံး,MMK
LOC-34,DF (12) ဂွေ,MMK
LOC-35,650 x 16 တာယာ (China),MMK
LOC-36,700 x 16 တာယာ (China),MMK
LOC-37,750 x 16 တာယာ (China),MMK
LOC-38,750 X 16 တာယာ + ကျွတ် (ကိုင်းမှတာယာ),MMK
LOC-39,မှန်ကာနတ်စုံ,MMK
LOC-40,မှန်ကာသံစိမ်းကျားပါးစပ်(သေး),MMK
LOC-41,မှန်ကာသံစိမ်းကျားပါးစပ်(ကြီး),MMK
LOC-42,မှန်ကာကူရှင်,MMK
LOC-43,မီးခွက်မှန်,MMK
LOC-44,ယိုးဒယားကိုင်း မှ စက်တုံး,MMK
LOC-45,24'' (6) ချပ်လင်ဗန်းထယ် (CMT),MMK
LOC-46,22 '' (18) ချပ်လင်ဗန်း (Agrovision),MMK
PIS-1,"2"" x 3/16"" Flat",MMK
PIS-2,1.2 mm sheet (ပြောင်),MMK
PIS-3,2 mm sheet (ပြောင်),MMK
PIS-4,2 mm sheet (ပန်း),MMK
PIS-5,"1"" x 1/2"" Flat",MMK
PIS-6,"1 ¼"" x 3/16"" Flat",MMK
PIS-7,"2"" x 3/16"" Flat",MMK
PIS-8,"2"" x 3/8"" Flat",MMK
PIS-9,"3"" x 3/8"" Flat",MMK
PIS-10,"3/8"" ø Solid",MMK
PIS-11,"5/8"" ø Solid",MMK
PIS-12,"3/4"" ø Solid",MMK
PIS-13,"3/4"" ကြွတ်ပိုက်ထူ",MMK
PIS-14,"3/4"" Pipe (ထူ)",MMK
ASS-1,စီလယ် ခါးဆက်ဘွတ်,MMK
ASS-2,စီလယ် စက်အထိုင် မှ နတ်တိုင်ရှည်,MMK
ASS-3,DF စီလယ် အပေါ်ကလပ်တံ(တို),MMK
ASS-4,DF စီလယ် အပေါ်ကလပ်တံ(ရှည်),MMK
ASS-5,မှန်ကာ အောက်ကလပ်တံ,MMK
ASS-6,မှန်ကာ တိုက်ရော့,MMK
ASS-7,မှန်ကာ ဝှိုက်ဘာ,MMK
ASS-8,မှန်ကာ ဘက်ကြည်မှန်,MMK
ASS-9,မှန်ကာ မိန်းဂီယာတံ (ဖြူ),MMK
ASS-10,မှန်ကာ မိန်းဂီယာတံ (မဲ),MMK
ASS-11,မှန်ကာ မိန်းဂီယာတံ(နှေး၊မြန်),MMK
ASS-12,မှန်ကာ ကလပ်ပုခက်,MMK
ASS-13,"7"" ပူလီ",MMK
ASS-14,ရှေ့မားကဒ်ဒေါက် (600 x 12),MMK
ASS-15,ရှေ့မားကဒ်ဒေါက် (600 x 14),MMK
ASS-16,SDF(BP)ရှေ့မားကဒ်ဒေါက် (600x14),MMK
ASS-17,ဂီယာဂျက်,MMK
ASS-18,ကျားပါးစပ်ယူဘိုးချောင်း(၂)ပေါက်ပြားတပ်လျက်,MMK
ASS-19,စီလယ် မိန်းဂီယာတံ,MMK
ASS-20,ရှေ့လေးခွာ,MMK
ASS-21,နောက်လေးခွာ,MMK
ASS-22,နောက်လေးခွာ (အမြင့်),MMK
ASS-23,ခါးဆက်တုံး,MMK
ASS-24,ခါးဆက်ယူဘိုး,MMK
ASS-25,"7"" ဘီး+ ဖလမ်း",MMK
ASS-26,ထွေလာနောက်ပိတ်ချိတ်,MMK
ASS-27,DF ကလပ်ဖုံး,MMK
SAM-1,SF လေး (9) ထပ် (Sifang),MMK
SAM-2,750 x 16 ယိုးဒယားတာယာ (Auten),MMK
SAM-3,4 Disc Plough (ILYQ-420 DFC),MMK
SAM-4,DF ကိုင်းဆင်ရန် နမူနာ (Seat Frame) (ထယ်စဉ် + ဂွတိုင်+ ဖင်ထိုင်ရှပ်တန်း + နောက်လိုက်သံဘီး+ ဖင်ထိုင်ပြား + စက္ကူပါကင်),MMK
SAM-5,လေးချပ်ထယ် မှ ရှပ်,MMK
SAM-6,JY (Chain) ဂီယာအုံ,MMK
SAM-7,ဂျွိုင်းဆက် + ဂျမ်းနတ်,MMK
SAM-8,JY ကိုင်း မှ Fork (New Design) (ဆိုက္ကလစ်ဂွ),MMK
SAM-9,JY Rotary (28) မှ Longer Connector,MMK
SAM-10,လေးချပ်လင်ဗန်းထယ် မှ ဂီယာဘောက်,MMK
SAM-11,16 ဂွေ (4)ပေါက်(ရွှေမြိုင်မှနမူနာပေး),MMK
SAM-12,SF သုံးသွားလင်ဗန်းခုံမှ လင်ဗန်းချပ်,MMK
SAM-13,4 Wheel မှ ဒိုင်ခွက် (554),MMK
CMS,CH 4LZ 2.1 မှ Gear Box Assy (JY 50),MMK
DPS-1,SF သိပ္ပံထယ်,MMK
DPS-2,ကောက်စိုက်စက် (2) Line,MMK
DPS-3,ကောက်စိုက်စက် (3) Line,MMK
DPS-4,"Snapper 20"" push (ဆေးဖျန်းစက်)",MMK
DPS-5,စပါးသိမ်းစက်,MMK
DPS-6,Marine Gearbox (1.6),MMK
OTS-1,554 မှ နောက်ဝိတ်တုံး (အပြင်),MMK
OTS-2,354 နောက်ဝိတ်တုံး (အပို) အသစ်,MMK
OTS-3,354 နောက်ဝိတ်တုံး (အပို) အဟောင်း,MMK
OTS-4,IC (16 HP) (with oil sensor),MMK
OTS-5,BJ ကား မှ ရှေ့နေကာမှန်,MMK
OTS-6,BJ ကား မှ နောက်ကျောမှန်,MMK
,,
INT-1,1.5% x 6 လစာအတိုး,MMK
INT-2,1.5% x 8 လစာအတိုး,MMK
INT-3,1.5% x 3 လစာအတိုး,MMK
INT-4,1.5% x 12 လစာအတိုး,MMK
INT-5,1.5% x 7 လစာအတိုး,MMK
INT-6,1.5% x 9 လစာအတိုး,MMK
INT-7,1.5% x 1 လစာအတိုး,MMK
INT-8,1.5% x 2 လစာအတိုး,MMK
,,
Whole Sale,1401 - နယ်ကုန်သည်များ ကြွေးကျန် - SYS,
YGN HP,1402 - YGN (HP) ။ - SYS,
YGN လက်လီ,1403 - YGN (HP) (လက်လီ) ။ - SYS,
SB HP,1405 - SYS - SB ။ ။ - SYS,
PT HP,1406 - SYS - PT ။ ။ - SYS,
HTD HP,1408 - SYS - HTD ။ ။ - SYS,
Cashdown,1900 - Temporary Account MMK - SYS,
MCB ,1900 - Temporary Account MMK - SYS,
